Key SUBDESC:PERMITFLAG value: ('Warehouse/Storage', 'NYYY'),  mean time (days): 87.0,  stddev (days): 37.4076640989, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Condo', 'YYNN'),  mean time (days): 275.285714286,  stddev (days): 813.19497412, number of entries: 14
Key SUBDESC:PERMITFLAG value: ('Assembly', 'NNNN'),  mean time (days): 1318.25,  stddev (days): 1572.81178679, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Condo', 'NYYN'),  mean time (days): 119.058823529,  stddev (days): 163.20786998, number of entries: 17
Key SUBDESC:PERMITFLAG value: ('Hotel/Motel', 'NYYN'),  mean time (days): 154.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Undefined', 'YNNY'),  mean time (days): 205.358208955,  stddev (days): 245.001527608, number of entries: 67
Key SUBDESC:PERMITFLAG value: ('Industrial Plant', 'YYNY'),  mean time (days): 205.25,  stddev (days): 113.986475806, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Antenna/Cell Site', 'NYYN'),  mean time (days): 107.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Mixed Use', 'YYYY'),  mean time (days): 368.541666667,  stddev (days): 387.356731807, number of entries: 72
Key SUBDESC:PERMITFLAG value: ('Duplex', 'YNNY'),  mean time (days): 120.382978723,  stddev (days): 154.757953113, number of entries: 47
Key SUBDESC:PERMITFLAG value: ('Medical/Dental Clinic', 'YNYN'),  mean time (days): 121.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('High Rise', 'YYNY'),  mean time (days): 130.0,  stddev (days): 71.714712577, number of entries: 3
Key SUBDESC:PERMITFLAG value: ('Condo', 'YNNY'),  mean time (days): 141.019607843,  stddev (days): 181.945100533, number of entries: 51
Key SUBDESC:PERMITFLAG value: ('Antenna/Cell Site', 'YYNY'),  mean time (days): 177.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Hotel/Motel', 'YYNY'),  mean time (days): 290.25,  stddev (days): 431.661422105, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Townhouse', 'NYYN'),  mean time (days): 46.6153846154,  stddev (days): 34.2601285791, number of entries: 13
Key SUBDESC:PERMITFLAG value: ('Multiple Use', 'NNNY'),  mean time (days): 388.8,  stddev (days): 522.748696794, number of entries: 5
Key SUBDESC:PERMITFLAG value: ('Apartment/Condo', 'YNYY'),  mean time (days): 180.428571429,  stddev (days): 131.181646348, number of entries: 28
Key SUBDESC:PERMITFLAG value: ('Tilt Up Warehouse', 'YNYY'),  mean time (days): 388.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Duplex', 'NNNN'),  mean time (days): 3259.75,  stddev (days): 6732.13639095, number of entries: 12
Key SUBDESC:PERMITFLAG value: ('Bank', 'NNYY'),  mean time (days): 36.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Service Station', 'YNNN'),  mean time (days): 136.5,  stddev (days): 176.72361575, number of entries: 56
Key SUBDESC:PERMITFLAG value: ('Survey', 'NNNN'),  mean time (days): 1957.25806452,  stddev (days): 1909.73136842, number of entries: 62
Key SUBDESC:PERMITFLAG value: ('Undefined', 'NNNY'),  mean time (days): 84.9956896552,  stddev (days): 124.935186585, number of entries: 232
Key SUBDESC:PERMITFLAG value: ('Assembly', 'YYNN'),  mean time (days): 183.714285714,  stddev (days): 127.057354878, number of entries: 7
Key SUBDESC:PERMITFLAG value: ('Mixed Use', 'YYNN'),  mean time (days): 56.5714285714,  stddev (days): 29.5852279742, number of entries: 7
Key SUBDESC:PERMITFLAG value: ('Agricultural Building', 'YNNN'),  mean time (days): 251.4,  stddev (days): 409.983292343, number of entries: 5
Key SUBDESC:PERMITFLAG value: ('Industrial Plant', 'NYNN'),  mean time (days): 90.75,  stddev (days): 96.4585403166, number of entries: 4
Key SUBDESC:PERMITFLAG value: ('Townhouse', 'YYYY'),  mean time (days): 382.651785714,  stddev (days): 234.906591867, number of entries: 224
Key SUBDESC:PERMITFLAG value: ('Restaurant', 'YYNY'),  mean time (days): 150.26,  stddev (days): 274.704197936, number of entries: 100
Key SUBDESC:PERMITFLAG value: ('High Rise', 'YYYN'),  mean time (days): 73.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Health Club', 'YYYY'),  mean time (days): 181.551724138,  stddev (days): 162.769027022, number of entries: 29
Key SUBDESC:PERMITFLAG value: ('Retail', 'YYYY'),  mean time (days): 202.857747671,  stddev (days): 282.227039422, number of entries: 1181
Key SUBDESC:PERMITFLAG value: ('Theater', 'NNNN'),  mean time (days): 135.5,  stddev (days): 54.4472221514, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('Residential Care', 'NYNN'),  mean time (days): 31.5769230769,  stddev (days): 54.1236902489, number of entries: 26
Key SUBDESC:PERMITFLAG value: ('Retail', 'YNYN'),  mean time (days): 128.153846154,  stddev (days): 251.135133712, number of entries: 26
Key SUBDESC:PERMITFLAG value: ('Manufactured Home', 'YYNY'),  mean time (days): 249.545454545,  stddev (days): 189.293086845, number of entries: 11
Key SUBDESC:PERMITFLAG value: ('Warehouse/Storage', 'NNNY'),  mean time (days): 79.8421052632,  stddev (days): 103.767010989, number of entries: 171
Key SUBDESC:PERMITFLAG value: ('Apartment', 'NYNN'),  mean time (days): 47.6348915368,  stddev (days): 78.2420830638, number of entries: 3273
Key SUBDESC:PERMITFLAG value: ('Single Dwelling Unit', 'YNYY'),  mean time (days): 154.7,  stddev (days): 205.140087637, number of entries: 10
Key SUBDESC:PERMITFLAG value: ('Hotel/Motel', 'NNYY'),  mean time (days): 39.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Retail', 'NNYN'),  mean time (days): 70.8833333333,  stddev (days): 86.0968951249, number of entries: 120
Key SUBDESC:PERMITFLAG value: ('Closed Public Parking Garage', 'NNNY'),  mean time (days): 42.4,  stddev (days): 38.1549472546, number of entries: 5
Key SUBDESC:PERMITFLAG value: ('Single Family', 'YYNY'),  mean time (days): 184.991831972,  stddev (days): 195.690213006, number of entries: 2571
Key SUBDESC:PERMITFLAG value: ('Restaurant', 'NNYN'),  mean time (days): 91.0862068966,  stddev (days): 186.885581328, number of entries: 58
Key SUBDESC:PERMITFLAG value: ('Apt/Condo/Townhouse', 'YNNY'),  mean time (days): 242.52866242,  stddev (days): 315.594038172, number of entries: 157
Key SUBDESC:PERMITFLAG value: ('Cafeteria', 'YYYY'),  mean time (days): 215.222222222,  stddev (days): 305.607500635, number of entries: 9
Key SUBDESC:PERMITFLAG value: ('Condo', 'YNYN'),  mean time (days): 329.833333333,  stddev (days): 76.7012922661, number of entries: 18
Key SUBDESC:PERMITFLAG value: ('Antenna/Cell Site', 'NNNY'),  mean time (days): 77.8796296296,  stddev (days): 91.5661976558, number of entries: 108
Key SUBDESC:PERMITFLAG value: ('Online Permits', 'NYNY'),  mean time (days): 122.0,  stddev (days): 164.048773235, number of entries: 2
Key SUBDESC:PERMITFLAG value: ('SRO/Fraternity/Shelter', 'NNYY'),  mean time (days): 109.0,  stddev (days): nan, number of entries: 1
Key SUBDESC:PERMITFLAG value: ('Temporary Use', 'YYYY'),  mean time (days): 163.2,  stddev (days): 236.537946216, number of entries: 5
